,sentence,category
54,"Человек должен потерять 40 минут ожидания в очереди, чтобы уйти ни с чем???",Quality
56,"Обращался по вопросу с ипотекой в июле 2020 года, вопрос решился быстро и качественно.",Quality
58,Я этим сотрудникам 5 поставила бы (оформили в с. Ермекеево).,Quality
60,И вот у меня вопрос к представителю банка почему такое плохое отношение к своим клиентам ведь вы существуйте за счет своих клиентов и почему руководству данного отделения все безразлично работают или не работают банкоматы главно время идет и зарплата.,Communication
62,"Это уже прямой обман клиентов и мошенничество, господа банкиры.",Quality
64,Добрый день.04.08.2015 в 19:41:55 я зарегистрировался в очереди под №069 в доп.офисе на ст.м.,Communication
66,В банкомате просто физически невозможно купить или перевести себе 1 цент.,Quality
68,"По факту я разочарован тем, что к клиентам премиум сегмента отношение абсолютно такое же, как и к обычным клиентам (я не к тому, что считаю себя выше других, а к тому что нельзя применять одни и те же алгоритмы работы к клиентам всех сегментам, должен быть индивидуальный подход).",Quality
70,МКБ среагировал очень чётко (всё правильно!,Quality
72,"Программы по ипотеке - это не просто реклама, это действительно работающие программы.",Quality
74,"Сотрудники, отвечающие на вопросы в чате абсолютно не компетентные ребята.",Communication
76,"С наступающими праздниками, Восточный банк.",Communication
78,"Банк не рекомендую, в случае возникновения конфликтных ситуаций найти и привлечь ответственных крайне сложно.",Quality
80,"Еще сказали, что в ноябре 2015 г. специалист неправильно рассчитала сумму и я банку должен 8000 руб. Начался такой бред.",Quality
82,"Постоянно по 100 раз переключают с одного на другого сотрудника, и кормят завтраками.",Communication
84,"Несмотря на многие отзывы о задержках Росреестра и других проблемах электронной регистрации, все прошло гладко (электронная выписка из ЕГРН пришла уже на 3й рабочий день, и уже через 4 рабочих дня у меня на руках были ключи).",Quality
86,"Для сравнения - в Тинькофф банке можно через приложение позвонить сотрудникам и в течении нескольких минут уладить данные вопросы, тут же 4 часа и вопрос остался открытым!",Communication
88,В итоге эта красотка так и ушла!!!,Communication
90,"Дело даже не в суммарном ожидании, а во лжи.",Communication
92,Никаких предложений по ускорению процесса поступления денег предложено не было!!!,Communication
94,"Жаловаться некому, НЕТ ПРОФЕССИОНАЛОВ!",Communication
96,"Работать никто не хочет, никто ни за что не хочет отвечать.",Quality
98,"Вы тоже ненавидите компании, которые любят тянуть время и ненавидят своих клиентов?",Communication
100,Все остальные функции прекрасно работают.,Quality
102,Ответ консультанта вообще ничего общего с моим вопросом не имеет.,Communication
104,"Ни одного извинения в свой адрес за такую работу я не услышала только надменность и сами виноваты (зачем сюда пришли), кассиры вообще отельный разговор в этом офисе.",Quality
106,Специалист с приятным голосом Татьяна по звонку быстро активировала мне карту.,Communication
108,"При оформлении кредита все сотрудники были очень доброжелательны, улыбались, всё готовы были сделать только возьмите кредит.",Communication
110,"Точка идеально походит для таких «чайников» как я. Удобный и понятный интерфейс, сотрудники на связи 24 на 7, четко и быстро отвечают на все вопросы.",Quality
111,"Точка идеально походит для таких «чайников» как я. Удобный и понятный интерфейс, сотрудники на связи 24 на 7, четко и быстро отвечают на все вопросы.",Communication
112,Офигеть как здорово и безопасно!,Safety
114,При этом деньги списываются в день запроса на погашение.5.,Quality
116,(отношение к клиенту просто ужас и такие как А. Б-ва не должны работать в принципе с клиентами.,Communication
118,(отношение к клиенту просто ужас и такие как А. Б-ва не должны работать в принципе с клиентами.,Communication
120,"А Сбербанку, видимо, надо побольше таких компетентных и не ленивых сотрудников, как Екатерина и Александра, которые могут ответить на любой вопрос, и сотрудничать с клиентом в любое время и по любой мелочи.",Communication
122,"И предложили пойти разбираться самостоятельно в банк, якобы я не могу закрыть эту карт без посещения отделения банка, которую я даже не получила и не подписывала никаких документов о ее получении.",Quality
124,"Вроде все замечательно, интерфейс туповат, но привыкнуть можно.",Quality
126,Сбербанк бессовестно использует средства граждан для обогащения!,Quality
128,Я не один раз попадала к ней во время посещения банка и всегда она очень добросовестно.,Quality
130,"Согласна с предыдущими отзывами , это не банк, а развод какой то!",Quality
132,"Я сталкивался с проблемами еще в 2009-ом году и хочу заметить, что и без того лояльное отношение к клиентам, стало на порядок более доброжелательным.",Communication
134,"Все хорошо, быстро заполнили необходимые данные, нам сказали подойти и получить наши карты через 4-5 рабочих дней.",Quality
136,"Была сделана дезинформация со стороны сотрудников Л-ой  А.  и  М-на А., которые  НЕ объяснили никаких деталей!!!",Communication
138,"Больше всего возмущает то обстоятельство, что даже невозможно выяснить имя этой заведующей.",Communication
140,"Я до сих пор не могу узнать, на каком основании у меня заблокированы карты!2.",Communication
142,"Я просто в шоке: неужели в Ренессанс кредит набирают таких сотрудников, или их скрипты специально таким образом разработаны, чтоб унизить и подавить человека?",Communication
144,"Я уже не хочу с ними иметь дело, но Сбербанк ""всегда рядом"", даже, когда он тебе и не нужен.",Communication
146,И он переключился с обслуживания меня на обслуживание этого клиента (хотя я на тот момент стоял уже у окна и работа с разрывом договора шла полным ходом)!,Communication
148,Ушла я довольная и с оформленным договором.,Quality
150,"Данный банкомат установлен по адресу: г. Москва, ул. Барклая, д.16, к.1 (крайний правый на прием наличных), хотя сомневаюсь уже,что остальные исправны банкоматы.",Quality
152,"Я была очень приятно удивлена, не ожидала получить настолько радушный прием за 5 минут до закрытия офиса.",Quality
154,"Сразу видно, что это хороший специалист.",Quality
156,"Жалобу я написала, а всем советую быть аккуратнее при работе с данным отделением Сбербанка - ведь даже непонятно, как проверить их слова и действия и не потерять деньги из-за того, что они не выполнили свою работу грамотно.",Quality
158,"Очень вежливый, внимательно выслушал, и помог разрешению вопроса по кредиту.",Communication
160,"Была сделана дезинформация со стороны сотрудников Л-ой  А.  и  М-на А., которые  НЕ объяснили никаких деталей!!!",Communication
162,"Открывали счет 2 недели... Открыли, пока готовилась карта Тинькофф (нужны были срочно деньги), перевели на р/с карты другого банка -  все ок, бесплатно, как в п.6, после 3-й платежки - 49 рублей... Проведя 3 операции, спокойно делаю 4-ю и... да, да, да!, 1,5% списано за операцию.",Quality
163,"Открывали счет 2 недели... Открыли, пока готовилась карта Тинькофф (нужны были срочно деньги), перевели на р/с карты другого банка -  все ок, бесплатно, как в п.6, после 3-й платежки - 49 рублей... Проведя 3 операции, спокойно делаю 4-ю и... да, да, да!, 1,5% списано за операцию.",Price
164,"А если учесть то, как я переживала, я была очень рада.",Quality
166,"Никакого тебе официального письма со счетом, даже смс прислать не могут.",Communication
168,Очень понравилось мобильное приложение и по банку и по брокерскому счету.,Quality
170,"И мне теперь вот новый талончик - и сидите и ждите в очереди, и вообще он главный по очереди в кассу :-)Я, честно говоря, - да же не знал, что ответить и попросил вызвать руководителя, который пришел - и подтвердил, что она не может управлять коллективом.",Communication
172,"Хочу выразить благодарность сотрудникам Росбанка, которые общались со мной в процессе работы, все адекватные, культурные люди.",Communication
174,"Вечером звоню - заявка все еще на рассмотрении, срок неизвестен, отключить смс банк не можем, и вообще - ""Вам же сказали - звоните ЗАВТРА, а вы все время СЕГОДНЯ звоните"" (с) Это что за безобразие?",Communication
176,"Мне выдали карту CASHBACK, по которой категории кэшбэка меняются каждый месяц... Честно говоря, я очень разочарована отношением оператора банка, ее невнимательностью к клиенту.",Communication
178,"Моё мнение о сотрудниках: ипотечный менеджер Б-ва К.: совершенно неклиентоориентированна, во многих вопросах не компетентна, в клиенте совершенно не заинтересована.",Communication
180,Хочу выразить огромное человеческое спасибо всем сотрудникам ПАо Сбербанка которые оказали мне помощь и отдельно огромное человеческое спасибо Виктору.,Communication
182,"И это очень большая проблема, так как очень часто деньги в срок не зачисляются, образуются просрочки, штрафы.",Quality
184,"Руки в таких ситуациях просто опускаются, пишешь на сайте - приходят ответы месяцы спустя о том, что не видят проблемы, нечего рассматривать, ходишь по кабинетам, понимающе кивают (в лучшем случае), а результата нет!",Communication
186,"У сотрудников банка такое недовольное выражение лица, как будто мы к ним домой приходим!",Communication
188,"Самое возмутительное - кроме всего вышеописанного , сотрудник банка намеренно ввел меня в заблуждение для подключения услуг: «семейный оберег», «помощь на дороге», «подари лес».",Communication
190,Последний раз оплачивала свой сотовый 14.04.07 и успешно.,Quality
192,"на походы в отделение для установки лимита на получение наличных с кредитной карты (заявление, день ожидания, ошибка сотрудника, снова заявление, ожидание, снова ошибка – ужос!)",Quality
194,"Что я и делаю, несколько знакомых стали пользоваться после моей наводки и обсуждения подводных камней (а их у ТКС всё-таки хватает), и сейчас вполне довольны положением вещей.",Quality
196,Обсалютно безответственная работа и наплевательское отношение к клиенту.,Communication
198,"Ребята  - большие молодцы, сработали безупречно.",Quality
200,Карта показалась мне привлекательной по условиям обслуживания.,Quality
202,"Я, и моя семья, являются клиентами ""Сбербанка"" много лет, наши зарплатные карты были привязаны к этому банку, мы не раз открывали депозиты и пользуемся кредитными картами ""Сбербанка"".",Quality
204,"Больше никогда в этот банк не обращусь и никому не рекомендую, если не хотите остаться обманутыми!",Communication
206,Звоню туда - ответа тоже никакого.,Communication
208,Все продукты ужасного качества как и сервис.,Quality
210,"Отвратительный сервис, полное отсутствие желания помочь.",Quality
212,"Сотрудники по данному вопросу некомпетентны, решение простого вопроса длится более двух месяцев.",Quality
214,"Звонок с московского номера (+74957379480), беру трубку, робот приятным женским голосом просит не класть трубку, оператор скоро ответит.",Communication
216,Хочу поблагодарить сотрудников банка в Москве в офисе на Бутырской улице.,Communication
218,"Итого что имеем обещанная ставка выросла более чем в два раза, я зря потратил свое время, меня пытались обмануть, номер попал третьим лицам и теперь меня донимают спамом.",Quality
219,"Итого что имеем обещанная ставка выросла более чем в два раза, я зря потратил свое время, меня пытались обмануть, номер попал третьим лицам и теперь меня донимают спамом.",Price
220,"Договор читать не даём, он в компе в электронном виде... Естественно всё желание сотрудничества с данным банком пропало тут же напрочь.",Quality
222,"Желаю ВТБ 24, побольше столь эффективно работающих сотрудников!",Quality
224,Радость от покупки этот банк нам испортил потому что не предупредив самовольно ввел условие на снятие наличных с удержанием 5%.,Communication
226,"Реально хочеться попросить руководство обучать своих сотрудников перед тем как сажать их за рабочие места и ввести хоть какой то контроль за тем что они делают на рабочих местах и что обслуживание клиента-должно быть первоочередно,а общение на потусторонние темы при клиенте не должно происходить особенно для тех кто и так некомпетентен!",Quality
228,"Она с этой задачей, естественно, успешно справилась.4.",Communication
230,Сначала пришел пустой ответ. Пустой!,Communication
232,"Контактных телефонов, эл. почты тоже нет!!!",Communication
234,"Обслуживание ужасное, все в отделении занимаются только своими делами, по курить, то в туалет, но никак не к клиентам.",Quality
236,"в филиал Вашего банка номер подразделения 8608/00256 был в очередной раз расстроен, удивлен и восхищен артистизмом работников данного филиала!",Communication
238,"Особая благодарность коллективу кредитного отдела: отнеслись к нашей фирме (к нашему бизнесу) очень профессионально, в то же время учли все наши ""индивидуальности"" и пожелания.",Quality
240,"Пользуюсь исключительно только этой картой,и на себе ощущаю все выгоды.",Price
242,"Так с самого утра мне позвонила какая-то хамка и угрожала, хамским тонном начала сообщать, что у меня просрочка и теперь мне надо платить штраф.",Communication
244,"Резюме: не ходите в Росбанк, он очень непорядочный и повернут не тем местом к клиенту.",Quality
245,"Резюме: не ходите в Росбанк, он очень непорядочный и повернут не тем местом к клиенту.",Communication
246,"А так как среди менеджеров есть какая-то заинтересованность, скорее всего финансовая, это уже они всеми правдами и неправдами стараются впарить эту дрянь!",Communication
248,мне предложили этот чудо продукт под названием МУЛЬТИКАРТА с кред лимитом и хорошим кеш.,Price
249,мне предложили этот чудо продукт под названием МУЛЬТИКАРТА с кред лимитом и хорошим кеш.,Communication
250,"Впервые воспользовалась услугами этого банка, т.к. брала товар в рассрочку, и никому не рекомендую, т.к каждый месяц у меня с этим банком проблемы, сотрудники не компетентны, в первый раз ошибочный перевод возвращали 2 месяца, и только после 5 звонка зафиксировали обращение, причем несколько разных сотрудников предоставляли не верную информацию, хотя по всем банковским регламентам, если деньги невозможно зачислить, они возвращаются обратно в течении 5 рабочих дней и без всяких обращений!",Communication
252,И после еще два раза откровенно отказались решать проблему.,Communication
254,"Я буду обращаться везде, куда только можно.",Quality
256,"В грубой форме требуют оплаты долга (на сегодня уже была озвучена сумма в 3000₽), угрожают тем, что начнут звонить моим родств-кам, а также запугивают порчей кредит.",Safety
258,"21.04 2020 мне одобрили заявку со словами, ""ожидайте звонка из банка для согласования времени и даты подписания нового графика платежа"" и на этом ВСЕ!",Communication
260,"Не могут связать ни с кем, кто разбирается в этом вопросе!",Communication
262,"поддержка по телефону - единица за компетентность (кроме того раза, когда заявка была все же принята в понедельник) Тем, кто разрабатывал он-лайн сервисы, вообще 0, потому что настолько нестабильный и сырой продукт, что подумать страшно, что там с безопасностью.",Communication
263,"поддержка по телефону - единица за компетентность (кроме того раза, когда заявка была все же принята в понедельник) Тем, кто разрабатывал он-лайн сервисы, вообще 0, потому что настолько нестабильный и сырой продукт, что подумать страшно, что там с безопасностью.",Quality
264,Спасибо сотрудникам за грамотное консультирование и доброжелательное отношение к клиентам.,Communication
266,"Что вообще происходит: абсолютная некомпетентность сотрудников или наставления от руководства делать так, чтоб клиент вас ненавидел?",Quality
268,"Это очень удобно, банкоматы в городе есть в крупных торговых центрах.",Quality
270,"Мало того, что нужно было им доотправить миллион документов, как ни в одном другом банке, так на службу в фсб не проверяют, как у вас перед окончательным одобрением ипотеки, учитывая, что мы в данный момент добросовестно платим ипотеку в другом банке, это говорит уже о том, что мы платежеспособные клиенты, но бог с ним с этим огромным списком документов, так это всё тянется столько дней - вот главная претензия!!!",Communication
271,"Мало того, что нужно было им доотправить миллион документов, как ни в одном другом банке, так на службу в фсб не проверяют, как у вас перед окончательным одобрением ипотеки, учитывая, что мы в данный момент добросовестно платим ипотеку в другом банке, это говорит уже о том, что мы платежеспособные клиенты, но бог с ним с этим огромным списком документов, так это всё тянется столько дней - вот главная претензия!!!",Quality
272,"Добрый день,Хочу выразить искреннюю благодарность руководителю проектов ПАО Сбербанк (Москва, ул. Оружейный переулок, 41) К-у М. за ответственное и внимательное отношение к потребностям клиента.",Quality
274,"Очень отвращает в дальнейшем пользоваться услугами банка, который, в случае чего, просто отмалчивается.",Communication
276,"Прошел почти месяц ни звонка, ни письма, хотя я оставляла свой почтовый адрес, я так и не получила!",Communication
278,"Банк может связаться со мной по моему личному телефону (как видите я всегда отвечаю на звонки и общаюсь с сотрудниками банка, детализация и аудиозапись телефонных звонков и переговоров с банком имеется) или посредством почтовой связи.",Communication
280,"Татьяна встретила меня с улыбкой, поприветствовала, что очень приятно.",Communication
282,"Пришли домой, прочитали все документы и были в ШОКЕ.",Communication
284,Оценка - 1 за отвратительную работу службы поддержки и службы безопасности.,Communication
285,Оценка - 1 за отвратительную работу службы поддержки и службы безопасности.,Safety
286,Отвратительный сервис в данном банке!,Quality
288,"Или теряете, или болеете... А менеджер вообще молодец - ""ну, досканируйте (оповестив меня, когда я на кухне в 18-30 кормлю семью) как будет время..."".",Communication
290,Они же потеряли мои документы?» Я получил ответ: «Мы ничего исправить не можем!»  Тогда я попросил вызвать для выяснения сложившейся ситуации руководителя Отдела сопровождения – М-нову Дарьяну.,Quality
292,Жуткий и неприкрытый обман клиентов!,Communication
294,"Как я могу узнать о ней, если меня просто игнорируют?",Communication
296,"Позвонил на горячую линию, в итоге сказали, что перевыпуск платный!?!",Communication
298,"Звонки в поддержку результата не дали, так как персонал не владеет ситуацией по данному вопросу и переключает от одного к другому, а минут через 20-25 ожидания бросает трубки.",Communication
299,"Звонки в поддержку результата не дали, так как персонал не владеет ситуацией по данному вопросу и переключает от одного к другому, а минут через 20-25 ожидания бросает трубки.",Quality
300,"При обращении в контакт-центр девушка бросила трубку не став ничего объяснять, пришлось звонить второй раз и со второго раза вежливая девушка пояснила как можно осуществить перевод.",Communication
302,"Месяц назад хотел поставить 5, за оперативную и беспроблемную выдачу ипотеки.",Quality
304,"Я очень рад, что смог обогатить с помощью ""специалиста"" Александры и директора Ольг Ваш банк на 10 000 рублей!",Communication
306,"Подробнее на: http://p.vtb24.ru/creac2 ВТБ 24 (ПАО) О, думаю, хорошее предложение.",Quality
308,"Подал заявку на рефинансирование кредита, 650000 на 2 года, после долгого общения со специалистом договорились об условиях - все отлично.",Quality
310,Я не идиот и судьи не идиоты!!!,Communication
312,"Оператор ужасно хамил на мой вопрос когда вернут деньги, сказала через 30 дней и добавив - ну вам что не на что жить что ли.",Communication
314,"Ситуция, в точности аналогичная той, что описана в отзыве ""Хитрая конвертация"", только конвертировал в доллары по курсу около 53.5.",Price
316,Крайне не рекомендую всем обращаться данную организацию.,Quality
318,Банк цинично обманывает своих клиентов.,Communication
320,"Вчера по номеру 900 сообщили, что можно перевести без комиссии, а сегодня в отказ идут!!!",Communication
322,Отличный пакет по карте ALL Airlines!,Quality
324,"За время сотрудничества я не часто обращался в кц, но всегда все было быстро и доходчиво.",Communication
326,"Александру К. огромное спасибо за доходчивое, человеческое объяснение во всех этих банковских терминах!",Communication
328,"Сегодня, 03.05.2017, звонка нет, на горячую линию дозвониться невозможно, заявленный срок рассмотрения заявки истек.",Communication
330,"Моя заблокированная карта была украдена, почему я пишу заявление на отключение, а мне подключают услуги к заблокированной карте???",Quality
331,"Моя заблокированная карта была украдена, почему я пишу заявление на отключение, а мне подключают услуги к заблокированной карте???",Safety
332,"Потому что банк ссылается на своего подрядчика, а те в свое время нарушают все условия собственной же оферты и не возвращают вам деньги ничем это не аргументируя.",Quality
334,"Попала я на обслуживание к Е-ой Юлии, которая внимательно меня выслушала и начала выполнять  эту очень непопулярную и малочисленную банковскую операцию.",Communication
336,Звонки на горячую линию результата не приносят - туда просто не дозвониться.,Communication
338,"Больше всего меня удивило, что она не раздражалась, вела себя спокойно, вежливо.",Communication
340,"Хорошо, что не было очереди, никто не психовал и не дышал в спину, но это очень ПЛОХО, потому что НЕУДОБНО.02.09.17 пришел туда еще раз с собой 20 купюр.",Quality
342,"Комиссия  у банка по эквайрингу высокая, а обслуживание-ужасное!!",Price
343,"Комиссия  у банка по эквайрингу высокая, а обслуживание-ужасное!!",Quality
344,"Девушки и юноши общаются вполне прилично вежливо и помогают, в отличие от их коллег из отдела по работе с юр. лицами которые просто швыряют тебе бумаги, мол, ""делайте все сами, образцы ищите там"".5.",Communication
345,"Девушки и юноши общаются вполне прилично вежливо и помогают, в отличие от их коллег из отдела по работе с юр. лицами которые просто швыряют тебе бумаги, мол, ""делайте все сами, образцы ищите там"".5.",Quality
346,"Время начала работы с 8.00 прекрасно мне подходило, как раз и на работу успевал бы.",Quality
348,"Невозможно отмотать месяц-другой назад (страницы перескакивают сразу на несколько месяцев - явно, что это неполадки разработчиков), страница трясётся и прыгает под тач-скрином.",Quality
350,"Каждое общение с ним оставляет хорошее впечатление о его работе, и о работе самого банка.",Quality
352,На повторные обращения за информацией о сроках вообще никак не реагируют!,Communication
354,Почему после 2х обращений вопрос проигнорирован и в ответ я получаю только формальные отписки?,Communication
356,"На мою просьбу закрыть дверь кассир ответила, что не будет этого делать, на просьбу поставить кого то из работников офиса на дверь ответила презрительно ага щас разбежалась и откровенно рассмеялась, мол , типа, кому вы тут нужны.",Communication
